T since,Latitude,Longitude,Altitude,,,SGP4 Test,,
0,-11.81544924,-7.805223056,410.2746362,,,1 25544U 98067A   16302.21085648  .00005394  00000-0  87933-4 0  9991,,
5,3.45408356,3.1216687,406.2642721,,,2 25544  51.6438 114.5570 0007060 117.7444 227.3654 15.54359703 25674,,
10,18.57198878,14.4599477,404.5410714,,,Singapore UTC+8:,,28/10/2016 13:03
15,32.68204578,28.17922806,404.7207483,,,,,
20,44.37401334,46.93366805,405.6473419,,,,,
25,51.14661801,72.97133836,406.0357473,,51.78736452,-51.68367223,426.0463732,
30,50.30744452,102.5837606,405.141008,,,,,
35,42.2584814,127.1309305,403.1499348,,,,,
40,29.89069443,144.6105564,401.1244953,,,,,
45,15.46512733,157.6582156,400.5159627,,,,,
50,0.233777537,168.7785596,402.4550123,,,,,
55,-14.99380368,179.8590536,407.1414708,,,,,
60,-29.42071661,-167.2329763,413.6332293,,,,,
65,-41.84132838,-150.0502042,420.1478974,,,,,
70,-50.085463,-125.9528698,424.7395039,,,,,
75,-51.29935813,-96.57823868,426.0463732,,,,,
80,-44.90883479,-70.3311061,423.8004865,,,,,
85,-33.47635471,-51.2915728,418.906195,,,,,
90,-19.51367697,-37.39679282,413.0635409,,,,,
95,-4.455586087,-25.98970236,408.0816094,,,,,
100,10.83272334,-15.08432703,405.1619923,,,,,
105,25.59099618,-2.875019541,404.4678562,,,,,
110,38.76490691,12.90510628,405.1764613,,,,,
115,48.46075878,35.09526343,405.9797065,,,,,
120,51.76817962,63.89935205,405.7817944,,,,,
125,47.14509834,91.88775422,404.266002,,,,,
130,36.64531641,112.8000761,402.0795527,,,,,
135,23.07537785,127.7719609,400.5547125,,,,,
140,8.142910984,139.6240561,401.0790345,,,,,
145,-7.178341314,150.5063222,404.3905688,,,,,
150,-22.1318946,162.2136562,410.131465,,,,,
155,-35.78496134,176.8351541,416.8865008,,,,,
160,-46.53227001,-162.8745481,422.6971201,,,,,
165,-51.68367223,-135.4794444,425.8146695,,,,,
170,-49.03469769,-106.545614,425.3663337,,,,,
175,-39.82431712,-83.81837095,421.670328,,,,,
180,-26.92855943,-67.63809257,416.0866418,,,,,
185,-12.30524863,-55.23160722,410.4625604,,,,,
190,2.956808281,-44.28878811,406.3912815,,,,,
195,18.09139917,-32.99232578,404.5977594,,,,,
200,32.25164059,-19.38798081,404.7299834,,,,,
205,44.05466184,-0.844396525,405.6482074,,,,,
210,51.03637697,24.96420693,406.0609124,,,,,
215,50.46129046,54.6056043,405.1983553,,,,,
220,42.60380566,79.39527224,403.2167152,,,,,
225,30.33395269,97.06913952,401.1567049,,,,,
230,15.95160085,110.2170839,400.4692076,,,,,
235,0.732458773,121.3685699,402.3077177,,,,,
240,-14.50702875,132.4228259,406.9093457,,,,,
245,-28.97547043,145.2375153,413.3674863,,,,,
250,-41.48879782,162.2358756,419.9176551,,,,,
255,-49.91459595,-173.9083973,424.6063599,,,,,
260,-51.38748586,-144.5882327,426.0420256,,,,,
265,-45.21181435,-118.12583,423.9160709,,,,,
270,-33.89710173,-98.87082411,419.0970359,,,,,
275,-19.98933001,-84.85484443,413.2673888,,,,,
280,-4.951665437,-73.40108042,408.2432361,,,,,
285,10.34053213,-62.50711162,405.2538047,,,,,
290,25.12958747,-50.37180689,404.4972602,,,,,
295,38.37830352,-34.75170604,405.1768067,,,,,
300,48.22954262,-12.80573265,405.9897387,,,,,
305,51.78736452,15.86254178,405.8238052,,,,,
310,47.40491487,44.02166387,404.3327978,,,,,
315,37.04700279,65.17136488,402.1360376,,,,,
320,23.54416058,80.28950643,400.5536665,,,,,
325,8.638160658,92.2056147,400.9844807,,,,,
330,-6.682632866,103.0911188,404.1980463,,,,,
335,-21.66090286,114.7423104,409.8751397,,,,,
340,-35.37625026,129.2292556,416.6291466,,,,,
345,-46.25464177,149.2926347,422.5074331,,,,,
350,-51.63466823,176.497132,425.7420076,,,,,
355,-49.23902508,-154.4677001,425.4232028,,,,,
360,-40.19453299,-131.4973736,421.8290602,,,,,
